Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
2015-08-21T10:13:10.075,E3B2 6BDE,AE,1B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:32:56.205,334B 664B,E9,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:32:57.196,334B 664B,E7,90,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:32:58.187,334B 664B,E7,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:32:59.178,334B 664B,E7,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:00.168,334B 664B,E7,A8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:01.158,334B 664B,E8,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:02.145,334B 664B,E7,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:03.131,334B 664B,E8,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:04.118,334B 664B,EA,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:04.717,334B 664B,E9,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:05.138,334B 4B34,C6,E6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:07.670,334B 664B,E6,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:08.654,324B 4B34,C7,E9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:10.179,3301 4B14,C8,EE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:10.624,334B 664B,E7,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:11.168,334B 4A34,C6,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:12.159,334B 664B,E8,A2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:13.013,334B 664B,E8,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:13.150,5566 4B4B,F5,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:14.021,334B 664B,E9,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:14.142,5566 4B4B,E2,A5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:15.026,334B 664B,E8,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:15.133,5566 4B4B,E6,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:16.125,334B 664B,E8,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:17.116,334B 664B,E9,A7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:18.108,334B 664B,E8,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:18.763,334B 664B,E6,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:19.100,334B 4B52,CC,AE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:19.749,334B 664B,E8,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:20.091,334B 4B52,CA,C6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:21.083,334B 664B,E9,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:22.074,334B 664B,EA,A6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:23.064,334B 664B,E8,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:24.053,334B 664B,E8,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:25.039,334B 664B,E8,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:26.023,334B 664B,E8,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:36.498,334B 7FFF,E9,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:37.485,334B 664B,E7,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:38.470,334B 664B,E8,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:39.453,334B 664B,E8,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:40.776,3FFF FE00,E8,A2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:41.762,334B 4B52,CE,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:47.792,334B 4B52,CD,AA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:48.779,334B 664B,E8,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:49.765,334B 664B,E6,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:50.750,334B 664B,E8,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:51.733,334B 664B,E8,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:53.928,337F FFFC,E9,A7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:54.920,334B 664B,E9,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:55.911,334B 664B,E8,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:56.903,334B 664B,E7,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:57.893,334B 664B,E7,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:58.883,334B 664B,E9,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:59.029,334B 664B,E7,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:33:59.874,334B 4B34,C7,E3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:00.014,334B 664B,E9,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:00.865,334B 4B34,C8,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:00.999,334B 664B,E9,A2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:01.856,334B 4B34,C8,D7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:02.673,334B 664B,E8,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:02.846,334B 4B52,CC,A9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:02.969,334B 664B,E8,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:03.623,334B 4B34,C8,DA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:03.834,334B 4B52,CF,B5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:04.821,334B 664B,E7,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:05.807,334B 664B,E7,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:05.923,334B 664B,E8,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:06.792,334B 4B34,C9,D1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:07.779,334B 664B,E9,A5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:08.766,334B 664B,E9,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:08.877,334B 664B,E9,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:09.754,334B 4B34,C8,CC,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:10.743,334B 664B,E9,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:11.732,334B 664B,E9,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:12.722,334B 664B,E8,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:13.712,334B 664B,EA,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:14.702,334B 664B,E8,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:15.693,334B 664B,E8,A2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:16.683,334B 664B,E8,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:17.674,334B 664B,E8,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:18.664,334B 664B,EB,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:19.653,334B 664B,E8,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:20.640,334B 664B,E6,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:21.628,334B 664B,E8,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:22.615,33CB 664B,E8,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:23.604,334B 664B,E8,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:23.801,334B 664B,E8,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:24.595,5562 4B4B,E5,A8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:24.804,334B 664B,E9,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:25.586,5566 4BC0,E3,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:25.806,334B 664B,E7,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:26.577,5566 4BC0,DA,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:27.568,334B 664B,E8,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:28.559,334B 664B,E7,9A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:29.550,334B 664B,E8,9A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:30.541,334B 664B,E8,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:31.532,334B 664B,E8,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:32.523,334B 664B,E8,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:33.513,334B 664B,E7,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:34.502,334B 664B,E8,A4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:35.491,334B 664B,E8,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:36.198,334B 664B,E7,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:36.478,5566 4000,EA,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:37.204,334B 664B,E7,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:37.465,5566 4B4B,CA,D6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:38.209,334B 664B,E8,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:38.452,4566 4B4B,E2,A1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:39.211,334B 664B,E9,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:39.438,557F FFC0,DC,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:40.039,334B 664B,EB,A2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:40.424,334B 2D66,D7,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:41.023,334B 664B,E9,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:41.412,334B 2D66,D5,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:42.398,334B 664B,EA,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:43.385,334B 664B,E8,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:44.373,334B 664B,E7,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:45.360,334B 664B,E9,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:46.347,334B 664B,E8,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:47.336,334B 664B,E7,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:48.326,334B 664B,E9,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:49.317,334B 664B,E9,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:50.308,334B 664B,E8,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:51.299,334B 664B,E8,90,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:52.290,334B 664B,E9,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:53.281,334B 664B,E8,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:54.270,334B 664B,E9,9F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:55.259,334B 664B,E8,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:56.244,334B 664B,E9,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:57.230,334B 664B,E9,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:58.215,334B 664B,E9,9A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:34:59.198,334B 664B,E9,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:03.557,334B 67FF,E7,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:04.760,334B 4B34,C7,E0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:05.525,5566 4B4B,DF,83,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:05.763,334B 4B34,C6,D9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:07.494,5566 4BFF,DF,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:08.478,334B 4B34,C5,E4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:09.459,330B 0B34,C5,F0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:49.511,334B 4934,C6,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:35:51.481,3148 4B20,C7,F0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:36:00.345,034B 4B24,C5,EE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:36:05.267,334A 4334,C6,E9,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:36:57.567,324B 0B34,C4,E8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:01.607,5526 4B4B,CC,E4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:02.617,5566 4B0B,CB,D3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:06.657,5566 4B4B,CD,B1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:08.677,5566 4B4B,CB,CB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:35.421,5566 4B4B,CC,C2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:43.297,234B 4A04,C2,F3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:58.060,334A 4B34,C6,DF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:37:59.045,314B 4B34,C5,E3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:01.998,124B 4B34,C5,E3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:05.934,2343 0B14,C4,F0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:06.918,334B 4934,C4,EF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:09.870,334B 4B34,C6,E6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:10.854,3342 4B34,C6,DF,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:14.790,334B 4B34,C5,DD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:16.760,334B 4B34,C7,D3,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:17.172,334B 4A34,C6,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:18.180,5566 4B4B,D6,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:19.189,5566 4B4B,DD,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:20.197,5566 4B4B,DC,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:21.204,5566 4B4B,DD,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:21.683,5566 4B4B,DC,96,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:22.213,334B 4B34,C6,D4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:22.667,5566 4B4B,DB,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:23.220,3343 4B30,C7,D4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:24.263,5566 4B4B,DE,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:24.635,5566 4B4B,DF,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:25.234,334B 4B14,C8,F2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:25.618,5566 4B4B,E0,B2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:26.241,334B 4B34,C7,E2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:27.248,5566 4B4B,E0,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:28.255,5566 4B4B,DD,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:29.262,5566 4B4B,DF,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:30.269,5566 4B4B,DE,8A,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:31.276,5566 4B4B,DC,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:32.281,5566 4B4B,DE,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:33.284,5566 4B4B,DE,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:34.285,5566 4B4B,DB,90,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:34.896,5567 FFFF,DD,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:37.850,334B 4B34,C7,E0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:39.455,1343 0134,C6,E7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:39.820,5566 4B4B,DE,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:40.460,334B 4B34,C5,D4,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:41.464,5566 4B4B,DE,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:42.465,5566 4B4B,E2,A0,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:44.744,557F FFF8,DE,9B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:45.729,334B 4B34,C4,DD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:46.982,334B 4B34,C7,DB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:47.989,5566 4B4B,DD,89,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:48.996,5566 4B4B,DF,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:50.001,5566 4B4B,E0,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:51.007,5566 4B4B,DF,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:52.011,5566 4B4B,DF,88,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:53.015,5566 4B4B,DD,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:54.018,5566 4B4B,DE,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:38:55.019,5566 4B4B,E1,9D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:02.895,5FFF F800,DE,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:03.902,5566 4B4B,DC,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:04.908,5566 4B4B,DD,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:05.914,5566 4B4B,E2,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:06.918,5566 4B4B,DD,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:16.021,5566 4B4B,DE,8B,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:17.028,5566 4B4B,DF,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:18.034,5566 4B4B,E2,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:19.039,5566 4B4B,E3,99,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:20.043,5566 4B4B,E0,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:21.529,5566 4B4B,DE,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:22.513,334B 4B34,C8,EA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:30.392,334A 4B34,C8,D6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:32.362,334B 4B34,C3,E2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:45.144,334B 4A30,C8,E7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:39:50.065,330B 4B24,C6,F6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:01.463,214B 4B34,C5,F7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:03.433,334B 4B34,C6,E2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:04.418,334B 4934,C6,CD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:06.387,330B 4924,C6,EA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:08.357,334B 0334,C6,E8,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:10.326,334B 4B04,C5,DB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:11.293,334A 4B34,C8,E1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:38.878,5566 4B4B,C6,CD,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:40.846,1309 4B14,C3,F5,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:41.828,330B 4934,C4,E6,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:40:42.807,334B 4B34,C5,E2,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:41:06.853,334B 4B34,C6,EE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:41:18.413,5566 4B4B,C9,BC,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:41:26.291,134B 0B24,C4,E7,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:41:34.160,324A 4B20,C4,EB,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:08.918,124B 4B34,C6,F1,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:12.214,334B 4B34,C4,DE,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:13.202,334B 664B,D7,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:14.223,334B 664B,D9,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:15.173,334B 664B,D6,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:16.156,334B 664B,D7,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:17.925,33FF FF00,D9,92,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:18.916,334B 664B,D8,94,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:19.907,334B 664B,D9,8D,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:20.898,334B 664B,D8,9E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:21.887,334B 664B,D9,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:22.874,334B 664B,D8,8C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:23.859,334B 664B,D7,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:33.086,334B 667F,D9,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:47.049,334B 4B34,C7,EA,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:48.037,334B 664B,D8,98,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:49.025,334B 664B,DA,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:50.012,334B 664B,DB,91,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:50.997,334B 664B,D9,95,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:42:51.981,334B 664B,D8,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:43:03.438,334B 67FF,DB,9C,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:43:04.425,334B 664B,D9,97,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:43:05.411,334B 664B,DA,93,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:43:06.397,334B 664B,D8,8E,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:43:07.386,334B 664B,D9,8F,2015-08-21T10:13:09.516,ASL/16/3937*21

2015-08-21T16:43:08.374,334B 664B,DC,90,2015-08-21T10:13:09.516,ASL/16/3937*21

